Week Nb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Mean,StdDev,RSD,Excess deaths pM 2020,Cumulative Excess deaths pM 2020,Cumulative Excess deaths 2020,Announced Covid Deaths
1,210.333947,215.315540,210.887457,206.274870,204.245332,227.031510,207.012884,235.887676,219.743623,212.916995,205.167850,214.964984,10.012494,0.046577,-9.797134,,,
2,216.976071,214.300771,204.614339,209.134674,202.953808,232.935621,206.090367,252.308484,213.747261,216.514813,219.374616,216.957621,15.093416,0.069568,2.416995,,,
3,212.455736,202.123543,205.905864,206.459374,197.049697,233.027872,211.717723,244.005828,215.500044,213.286002,212.363485,214.153168,14.233246,0.066463,-1.789684,,,
4,205.352353,187.271014,205.998115,225.463231,192.806118,231.551845,208.765667,248.249408,207.843150,220.942896,202.031291,213.424380,18.333702,0.085903,-11.393089,,,
5,207.381891,197.787711,217.529582,237.640459,202.031291,243.913577,201.108774,272.142606,217.252826,223.341441,217.068323,222.013016,23.377445,0.105298,-4.944693,,,
6,198.433473,190.592076,225.555482,225.832237,205.260101,251.570470,196.219432,248.249408,217.068323,234.688404,199.263739,219.346941,21.582921,0.098396,-20.083202,,,
7,208.488912,190.776580,250.647953,225.463231,199.909501,266.792006,195.665921,242.714304,236.625690,222.234420,211.902226,223.931852,25.350161,0.113205,-12.029626,,,
8,203.876325,189.392804,255.537295,224.632965,202.584801,255.906302,205.721360,220.389385,242.437549,223.064686,210.887457,222.354347,22.937418,0.103157,-11.466890,,,
9,195.204663,181.920414,244.467087,235.149662,196.588439,243.821325,215.500044,213.562757,276.939696,223.987203,205.721360,222.714129,28.391353,0.127479,-16.992769,,,
10,197.787711,197.787711,228.784293,237.271452,190.961083,226.662503,208.857919,197.234201,278.231221,220.389385,202.953808,218.396748,26.368407,0.120736,-15.442940,,,
11,192.990621,191.606845,223.894951,216.145806,202.769305,219.559120,207.381891,187.824524,251.293715,215.407792,203.691822,210.887457,18.936364,0.089794,-7.195635,-7.195635,-83,18
12,187.824524,189.023797,199.448242,218.083092,198.525725,219.559120,218.083092,194.282145,239.300990,199.909501,234.042642,206.404023,16.582814,0.080342,27.638619,20.442984,235,192
13,186.717504,185.794986,203.507319,218.175344,188.931545,209.411429,209.688185,190.776580,226.939258,190.315321,292.161232,201.025747,14.605420,0.072654,91.135485,111.578469,1284,894
14,176.938820,178.599351,193.636383,223.064686,200.647515,199.540494,191.883600,181.643658,203.230563,201.385529,367.254141,195.057060,13.879531,0.071156,172.197081,283.775550,3267,2373
15,179.706372,175.093785,195.758173,222.787930,187.086510,204.614339,199.263739,180.259882,200.647515,181.643658,376.940573,192.686191,14.720186,0.076395,184.254382,468.029932,5388,4479
16,177.953589,188.747042,194.651152,207.935402,177.123323,198.525725,189.023797,176.846568,188.562538,193.267376,,189.263651,10.054188,0.053123,,,,5981
17,180.444386,178.414848,186.994259,197.326453,186.071741,192.529363,184.134455,191.791349,180.167631,188.747042,,186.662152,6.096561,0.032661,,,,
18,174.724778,173.617758,192.898369,178.968358,174.540275,184.964721,192.529363,192.898369,172.233982,185.518231,,182.289420,8.512413,0.046697,,,,
19,181.459155,180.997896,186.348497,180.813393,178.599351,190.315321,190.499824,185.333728,182.658427,187.640021,,184.466561,4.177825,0.022648,,,,
20,183.488693,172.695240,173.341003,183.396441,184.503462,182.289420,177.676834,194.651152,171.588220,187.640021,,181.127049,7.328863,0.040463,,,,
21,173.986765,180.721141,192.437111,183.027434,179.706372,179.890875,179.521869,185.333728,179.983127,184.042203,,181.865062,4.840301,0.026615,,,,
22,187.178762,184.226707,175.647296,186.071741,180.536638,175.739548,173.894513,182.750679,180.167631,178.322596,,180.453611,4.585951,0.025413,,,,
23,173.617758,172.510737,175.001534,201.016522,179.706372,179.152862,171.219213,167.436892,167.067885,181.366903,,176.809668,9.812489,0.055497,,,,
24,160.149005,174.171268,170.204444,184.411210,175.093785,184.780217,170.757954,172.326233,159.964502,170.388947,,172.224757,8.326135,0.048345,,,,
25,180.905644,169.005171,175.462792,187.455517,170.942458,175.278289,177.123323,193.820887,164.115829,176.477561,,177.058747,8.690404,0.049082,,,,
26,202.953808,187.916776,185.979490,170.665702,172.049478,174.171268,170.296695,167.990402,179.890875,182.658427,,179.457292,10.812233,0.060250,,,,
27,190.315321,181.735910,171.957227,168.636164,172.233982,212.271233,175.186037,175.370541,191.883600,178.507099,,181.809711,13.166835,0.072421,,,,
28,172.602989,165.868612,167.529143,173.617758,170.942458,176.016303,178.322596,170.388947,169.097423,164.946095,,170.933232,4.310009,0.025215,,,,
29,169.927688,165.130598,163.654571,173.710009,188.101279,165.776361,187.271014,168.543913,183.396441,173.617758,,173.912963,9.208019,0.052946,,,,
30,161.625033,163.931326,188.285783,190.130818,184.411210,160.518012,176.846568,175.001534,194.374397,213.839512,,180.896419,16.815221,0.092955,,,,
31,164.669340,178.138093,163.377816,172.233982,175.739548,163.931326,166.145368,166.791130,196.034928,176.754317,,172.381585,10.028479,0.058176,,,,
32,167.529143,173.248751,169.189675,165.684109,167.436892,184.226707,164.946095,168.451661,184.503462,162.916557,,170.813305,7.650432,0.044788,,,,
33,170.942458,163.285564,169.558682,162.455298,157.473705,170.850206,182.289420,164.577088,174.079016,163.931326,,167.944276,7.089625,0.042214,,,,
34,165.868612,171.403716,180.259882,172.141730,164.484836,161.901788,195.573670,179.983127,168.267157,171.495968,,173.138049,9.918174,0.057285,,,,
35,166.422123,171.219213,159.687746,166.606626,173.525506,177.031072,172.141730,177.492330,168.359409,185.056972,,171.754273,7.097430,0.041323,,,,
36,168.451661,169.005171,165.130598,171.311464,174.632527,163.746823,169.281926,173.710009,176.108554,169.558682,,170.093742,3.959261,0.023277,,,,
37,176.293058,168.082654,170.204444,165.407354,169.466430,176.846568,178.783855,168.174906,167.067885,169.097423,,170.942458,4.625893,0.027061,,,,
38,182.750679,167.805899,164.946095,163.654571,176.385310,170.112192,163.193312,176.016303,181.735910,177.400079,,172.400035,7.389204,0.042861,,,,
39,180.075379,185.887238,184.134455,190.499824,165.315102,178.230344,175.831799,181.090148,168.912919,175.831799,,178.580901,7.597546,0.042544,,,,
