Week Nb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Mean,StdDev,RSD,Excess deaths pM 2020,Cumulative Excess deaths pM 2020,Cumulative Excess deaths 2020,Announced Covid Deaths
1,232.850025,227.032365,188.786641,208.645688,205.557301,220.604211,234.232617,215.307268,228.450869,196.705122,220.029627,215.817211,15.600671,0.072287,4.212416,,,
2,225.182924,235.812722,203.671949,225.182924,212.721641,291.547336,206.508955,246.262962,270.233874,226.403914,252.421780,234.352920,28.123752,0.120006,18.068860,,,
3,211.195403,205.377744,186.613996,198.859811,198.608430,266.930018,206.006195,244.377609,255.977017,212.955066,233.245051,218.690129,27.141202,0.124108,14.554922,,,
4,198.518652,189.522826,185.303228,202.217534,186.272837,250.195269,203.205099,231.216052,250.213224,210.800377,212.883243,210.746510,24.740282,0.117394,2.136733,,,
5,188.966198,183.776990,181.658213,203.151232,184.189972,231.629034,198.446829,224.177403,238.541994,202.845985,208.502042,203.738385,20.876419,0.102467,4.763658,,,
6,181.658213,179.898550,184.710688,198.303183,182.196885,216.169143,200.565606,220.298963,224.356960,209.363918,197.261750,199.752211,17.153626,0.085875,-2.490461,,,
7,181.388876,175.194146,189.109844,198.051802,183.112627,212.272748,190.151277,209.076626,219.885981,212.308659,196.507609,197.055259,15.490218,0.078608,-0.547650,,,
8,184.854334,169.376487,199.057324,194.819769,187.224492,205.305921,198.518652,211.769987,218.018584,202.810073,194.658168,197.175562,14.062555,0.071320,-2.517395,,,
9,179.216232,169.735602,196.525564,193.616735,186.326705,205.988239,202.630516,201.966153,194.891592,198.303183,194.209274,192.920052,11.362895,0.058900,1.289222,,,
10,175.822597,173.236971,188.660951,201.912286,176.469004,205.934372,197.692688,198.895722,233.370741,195.681645,195.627778,194.767698,17.910238,0.091957,0.860080,,,12
11,174.691386,176.720384,180.293576,200.745163,179.647170,196.633299,197.908156,192.072541,229.617992,189.738295,197.854289,191.806796,16.246024,0.084700,6.047493,,,41
12,172.931723,174.296359,177.115411,198.859811,176.540827,189.756251,173.003546,185.393006,213.906720,186.775598,191.138843,184.857925,13.296911,0.071930,6.280918,6.280918,377,315
13,143.717736,167.203843,172.985591,166.629259,172.770122,188.409570,184.692732,180.042196,178.498002,177.169278,200.044889,173.211833,12.483836,0.072073,26.833057,33.113974,1988,1520
14,175.176191,171.602999,152.982897,195.537999,178.551870,162.714908,208.268618,178.462091,193.814248,181.819814,294.240697,179.893163,16.198472,0.090045,114.347533,147.461507,8853,4971
15,177.618171,167.473179,179.413745,218.108363,170.651344,181.155452,205.000673,152.498092,220.873547,184.782511,332.468465,185.757508,22.229452,0.119669,146.710957,294.172465,17660,10122
16,169.663779,149.661085,194.209274,211.015846,143.645913,208.986847,196.166450,173.165148,201.517260,162.050545,401.328725,181.008215,24.576660,0.135776,220.320510,514.492975,30886,14760
