Week Nb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Mean,StdDev,RSD,Excess deaths pM 2020,Cumulative Excess deaths pM 2020,Cumulative Excess deaths 2020,Announced Covid Deaths
1,183.910532,196.415767,184.699848,192.716818,180.010385,200.981416,188.553565,244.177099,222.695334,209.741272,196.957455,200.390204,20.139761,0.100503,-3.432749,,,
2,184.777232,186.448724,181.310434,189.621463,182.285471,206.831638,189.544079,246.901012,214.600980,211.087751,198.845621,199.340878,20.746280,0.104074,-0.495257,,,
3,180.134199,177.503147,185.241535,196.570535,179.840140,201.290952,191.958456,231.470666,207.837628,211.087751,198.845621,196.293501,17.128511,0.087260,2.552120,,,
4,178.663905,178.122218,179.159162,200.826649,173.510139,198.567039,186.727306,232.662377,196.477675,211.087751,198.845621,193.580422,18.375366,0.094924,5.265199,,,
5,177.688868,181.619969,182.796204,196.694349,175.831655,208.890049,185.148674,224.629931,192.051317,213.316407,196.261000,193.866742,16.657288,0.085921,2.394257,,,
6,179.159162,181.929505,199.480169,195.224056,178.988917,219.538071,186.634445,211.257996,200.424252,216.287948,189.776230,196.892452,15.207653,0.077238,-7.116222,,,
7,183.987916,177.673391,209.663888,200.996893,183.879579,230.805164,183.337892,198.845621,199.557553,216.287948,189.776230,198.503585,16.931673,0.085297,-8.727354,,,1
8,180.134199,174.655420,211.072275,199.882565,178.648428,225.187094,181.898551,189.296450,207.125697,216.287948,189.776230,196.418863,17.888364,0.091073,-6.642632,,,1
9,169.052827,169.455223,209.911516,206.769731,181.047329,213.889048,189.621463,185.102244,223.995383,209.184108,189.992905,195.802887,19.437974,0.099273,-5.809982,,,2
10,175.506643,171.111238,197.390804,202.188605,175.274491,203.566038,188.166646,181.062805,225.883549,196.818164,189.822661,191.696898,16.863713,0.087971,-1.874238,,,10
11,174.639943,165.369354,190.364348,190.782221,175.816178,193.629948,190.503639,174.175640,207.187604,185.427256,194.450217,184.789613,12.261994,0.066357,9.660604,9.660604,648,91
12,160.695368,163.728816,176.218574,180.938991,173.463708,187.485668,187.439237,170.182632,200.145671,182.889065,215.297434,178.318773,11.967604,0.067114,36.978662,46.639265,3128,562
13,161.329916,162.475197,172.798207,174.841141,163.388327,184.251021,189.002392,170.383830,196.833640,179.282976,243.712796,175.458665,11.922674,0.067951,68.254131,114.893396,7705,2314
14,162.165662,159.611994,169.904050,174.918525,170.074294,175.831655,183.028356,168.387326,189.791707,181.558062,272.267448,173.527163,9.432408,0.054357,98.740285,213.633681,14327,7560
15,162.490674,152.601014,168.495663,175.382829,161.887080,177.255518,177.301949,168.263511,184.637941,174.237547,,170.255373,9.408757,0.055263,,,,13832
16,160.014390,164.549085,169.192118,166.762264,162.088278,171.699356,169.052827,168.944490,182.966449,178.787719,,169.405698,7.070091,0.041735,,,,19323
17,158.126223,158.095269,167.892069,163.279989,163.790723,170.027864,169.671898,173.989919,171.188622,177.998404,,167.406098,6.540456,0.039069,,,,
18,152.554584,159.642947,161.763265,159.488179,159.194121,167.118230,171.745786,171.730309,168.929013,170.724319,,164.289075,6.638203,0.040406,,,,
19,153.390329,155.139205,164.285980,156.330917,161.856126,165.632459,169.176641,169.331409,163.697862,171.591018,,163.043195,6.333493,0.038845,,,,
20,162.924024,150.202114,155.959474,159.503656,159.395319,159.890575,166.669403,168.155174,165.261017,171.591018,,161.955177,6.291872,0.038849,,,,
21,158.095269,150.434265,160.772752,156.036858,160.958473,158.203607,165.911041,167.861115,170.615981,171.591018,,162.048038,6.810322,0.042027,,,,
22,154.876100,152.817689,156.748790,160.153681,154.040354,160.014390,158.884585,160.571554,166.189623,170.538598,,159.483536,5.499783,0.034485,,,,
23,151.300965,147.632969,146.843653,164.982435,162.320429,164.719330,163.326420,156.098765,160.525123,167.923022,,158.567311,7.623035,0.048074,,,,
24,146.518641,152.755782,152.105757,155.092775,159.286981,160.726321,157.151186,159.937006,158.575049,167.923022,,157.007252,5.821614,0.037079,,,,
25,158.559573,150.449742,155.185635,154.349890,152.786735,156.238056,164.827667,171.420774,161.794219,167.923022,,159.353531,6.913130,0.043382,,,,
26,163.032361,157.367861,160.308448,148.221086,151.533116,161.097764,159.565563,153.622481,172.349380,167.923022,,159.502108,7.314510,0.045858,,,,
27,156.052335,152.461723,151.177150,155.402310,153.978447,176.620971,165.787227,167.474196,170.414783,168.093267,,161.746241,8.923985,0.055173,,,,
28,148.608006,148.592529,147.122235,159.844145,150.403312,163.249036,160.942996,159.937006,162.707349,168.093267,,156.949988,7.521228,0.047921,,,,
29,148.793727,148.468715,153.823679,158.621480,163.310943,161.113241,172.751777,162.954977,166.189623,168.093267,,160.412143,8.057112,0.050228,,,,
30,148.050842,149.753287,163.109745,161.933510,156.501161,157.290477,156.563069,161.113241,173.277987,168.093267,,159.568659,7.701133,0.048262,,,,
31,147.338910,156.501161,149.846148,151.022383,155.433264,153.947493,155.711846,165.168156,170.275492,165.895565,,157.114042,7.571036,0.048188,,,,
32,148.267517,146.147198,151.796221,146.069814,154.334413,165.988425,155.232066,156.826174,170.151678,164.255026,,155.906853,8.467540,0.054312,,,,
33,151.037859,150.016392,154.767763,147.230573,143.779251,157.491675,161.747789,159.813192,157.290477,164.255026,,154.743000,6.599724,0.042650,,,,
34,150.124730,147.292480,152.276002,149.041355,156.005905,156.176149,166.530112,164.734806,164.332410,164.255026,,157.076898,7.347102,0.046774,,,,
35,151.192627,148.112749,141.813701,150.697370,161.577544,159.503656,159.611994,163.403804,160.385832,164.626469,,156.092575,7.597527,0.048673,,,,
36,151.239058,150.155683,151.486686,153.204608,160.045343,155.835660,161.283485,155.092775,166.437252,166.839648,,157.162020,6.174034,0.039285,,,,
37,152.570060,150.511649,151.935512,148.778250,155.680892,160.958473,161.608498,164.224073,166.917032,166.839648,,158.002409,6.919556,0.043794,,,,
38,156.532115,150.805708,152.415293,154.752286,159.550086,163.094268,162.490674,175.522119,166.715834,166.839648,,160.871803,7.621803,0.047378,,,,
39,160.989427,157.754780,156.748790,162.134708,151.115243,164.812190,166.112240,177.611484,165.431261,166.839648,,162.954977,7.147087,0.043859,,,,
40,165.245540,152.570060,165.616983,158.745294,160.014390,170.167155,168.789722,173.649430,175.042339,174.810188,,166.465110,7.530818,0.045240,,,,
41,159.642947,157.336907,162.784733,155.959474,163.388327,175.320921,177.905543,175.661410,176.295958,176.141191,,168.043741,8.959652,0.053317,,,,
42,164.549085,163.682386,165.276494,166.669403,164.146689,171.916031,179.638942,171.482681,170.430260,176.141191,,169.393316,5.480144,0.032352,,,,
43,166.669403,167.458719,162.413290,164.580039,160.664414,178.091264,179.437744,173.355371,174.237547,176.141191,,170.304898,6.767387,0.039737,,,,
44,165.493168,162.444244,168.851629,155.433264,166.437252,175.444736,176.265005,174.067303,176.992413,180.969945,,170.239896,7.871885,0.046240,,,,
45,160.633461,159.550086,171.420774,159.921529,167.644440,169.842143,179.406790,178.524614,181.264003,187.423760,,171.563160,9.850481,0.057416,,,,
46,161.128718,162.800209,168.634954,159.890575,169.192118,164.177642,184.467696,180.350874,177.580531,187.423760,,171.564708,10.122453,0.059001,,,,
47,162.769256,163.543095,164.982435,165.895565,173.030359,165.477692,180.025861,183.245031,181.171143,187.423760,,172.756420,9.392574,0.054369,,,,
48,170.956470,166.622973,168.526617,174.160163,168.789722,172.705346,180.087768,185.922513,182.796204,188.104739,,175.867252,7.768513,0.044173,,,,
49,172.798207,169.455223,174.082779,172.302950,173.541092,175.537596,187.996401,190.023859,179.019871,192.206084,,178.696406,8.275281,0.046309,,,,
50,177.085274,171.002901,181.434248,176.156667,183.043833,176.605494,193.583517,198.597993,181.589016,192.206084,,183.130503,8.888004,0.048534,,,,
51,184.978430,175.707841,179.375837,174.376838,184.885569,176.837645,208.534083,200.207578,189.745277,192.206084,,186.685518,11.198332,0.059985,,,,
52,,193.335889,365.128105,180.969945,184.452219,175.212584,226.874063,212.171126,188.538088,192.206084,,213.209789,59.184013,0.277586,,,,
53,,,,,,,185.984420,,,,,185.984420,,,,,,
