Year,WeekNb,Week ending on,E&W - Deaths,E&W - Deaths - Normalized,FR - Deaths,FR - Deaths - Normalized,NL - Deaths,NL - Deaths,BE - deaths,BE - Deaths - Normalized
2010,1,10/01/2010,12 968,232.8500247,11883,183.9105322,2767,166.9382707,2280,210.3339467
2010,2,17/01/2010,12 541,225.1829241,11939,184.7772317,2830,170.7391782,2352,216.9760713
2010,3,24/01/2010,11 762,211.1954033,11639,180.1341988,2846,171.704488,2303,212.4557365
2010,4,31/01/2010,11 056,198.5186515,11544,178.6639051,2865,172.8507934,2226,205.3523532
2010,5,07/02/2010,10 524,188.9661983,11481,177.6888682,2858,172.4284704,2248,207.3818913
2010,6,14/02/2010,10 117,181.6582125,11576,179.1591619,2831,170.79951,2151,198.4334734
2010,7,21/02/2010,10 102,181.3888764,11888,183.9879161,2900,174.9624087,2260,208.488912
2010,8,28/02/2010,10 295,184.8543341,11639,180.1341988,2929,176.7120328,2210,203.8763255
2010,9,07/03/2010,9 981,179.216232,10923,169.052827,2757,166.334952,2116,195.2046628
2010,10,14/03/2010,9 792,175.8225973,11340,175.5066427,2760,166.5159476,2144,197.7877112
2010,11,21/03/2010,9 729,174.6913857,11284,174.6399432,2686,162.0513896,2092,192.9906212
2010,12,28/03/2010,9 631,172.9317233,10383,160.6953678,2687,162.1117215,2036,187.8245243
2010,13,04/04/2010,8 004,143.7177358,10424,161.3299157,2586,156.0182031,2024,186.7175035
2010,14,11/04/2010,9 756,175.1761907,10478,162.1656616,2472,149.1403705,1918,176.93882
2010,15,18/04/2010,9 892,177.6181712,10499,162.4906739,2583,155.8372075,1948,179.706372
2010,16,25/04/2010,9 449,169.6637788,10339,160.0143897,2581,155.7165438,1929,177.9535891
2010,17,02/05/2010,9 503,170.6333887,10217,158.126223,2570,155.0528932,1956,180.4443858
2010,18,09/05/2010,8 343,149.8047313,9857,152.5545835,2536,153.0016098,1894,174.7247785
2010,19,16/05/2010,9 483,170.2742739,9911,153.3903295,2687,162.1117215,1967,181.4591549
2010,20,23/05/2010,9 190,165.0132424,10527,162.9240236,2525,152.3379593,1989,183.4886929
2010,21,30/05/2010,9 452,169.717646,10215,158.0952694,2485,149.9246847,1886,173.9867646
2010,22,06/06/2010,8 178,146.8420344,10007,154.8761,2567,154.8718977,2029,187.1787622
2010,23,13/06/2010,9 259,166.2521884,9776,151.3009647,2502,150.9503264,1882,173.6177577
2010,24,20/06/2010,8 513,152.857207,9467,146.5186408,2372,143.107184,1736,160.149005
2010,25,27/06/2010,8 461,151.9235086,10245,158.5595727,2535,152.941278,1961,180.9056445
2010,26,04/07/2010,8 973,161.116847,10534,163.0323611,2580,155.6562119,2200,202.9538082
2010,27,11/07/2010,8 627,154.9041612,10083,156.052335,2653,160.060438,2063,190.315321
2010,28,18/07/2010,8 541,153.3599677,9602,148.6080056,2499,150.7693308,1871,172.6029887
2010,29,25/07/2010,8 261,148.3323607,9614,148.7937269,2443,147.3907464,1842,169.9276885
2010,30,01/08/2010,8 257,148.2605378,9566,148.0508416,2314,139.6079358,1752,161.6250327
2010,31,08/08/2010,8 467,152.031243,9520,147.3389099,2289,138.0996392,1785,164.6693398
2010,32,15/08/2010,8 318,149.3558379,9580,148.2675165,2381,143.6501707,1816,167.5291435
2010,33,22/08/2010,8 584,154.1320645,9759,151.0378595,2464,148.6577155,1853,170.9424575
2010,34,29/08/2010,8 635,155.0478072,9700,150.1247297,2277,137.3756568,1798,165.8686123
2010,35,05/09/2010,7 708,138.402837,9769,151.1926272,2416,145.761786,1804,166.4221227
2010,36,12/09/2010,8 961,160.9013781,9772,151.2390576,2433,146.7874277,1826,168.4516608
2010,37,19/09/2010,8 727,156.6997352,9858,152.5700603,2523,152.2172956,1911,176.2930579
2010,38,26/09/2010,8 943,160.5781748,10114,156.532115,2594,156.500858,1981,182.7506791
2010,39,03/10/2010,8 759,157.2743188,10402,160.9894266,2498,150.708999,1952,180.0753789
2010,40,10/10/2010,9 195,165.1030211,10677,165.2455401,2598,156.7421855,1955,180.3521341
